Elapsed time,Loss,Method
400,65.60218068583218,pisces
410,65.25197638036842,pisces
420,64.90177207490464,pisces
430,62.64529430560216,pisces
440,60.38881635450324,pisces
450,58.132338403404326,pisces
460,55.87586045230542,pisces
470,53.6193825012065,pisces
480,51.36290455010759,pisces
490,50.84476052020874,pisces
500,50.32661665609035,pisces
510,49.80847279197196,pisces
520,49.290328927853565,pisces
530,48.77218506373517,pisces
540,48.25404119961678,pisces
550,47.735897335498386,pisces
560,47.21775347138,pisces
570,46.69960960726161,pisces
580,46.181465743143214,pisces
590,45.66332187902482,pisces
600,45.14517801490643,pisces
610,44.627034150788035,pisces
620,44.10889028666965,pisces
630,43.590746422551256,pisces
640,43.07260255843286,pisces
650,42.55445869431447,pisces
660,42.29304216246904,pisces
670,42.03162565510704,pisces
680,41.77020914774504,pisces
690,41.50879264038304,pisces
700,41.24737613302104,pisces
710,40.98595962565904,pisces
720,40.72454311829705,pisces
730,40.46312661093505,pisces
740,40.20171010357305,pisces
750,39.94029359621105,pisces
760,39.67887708884905,pisces
770,39.41746058148705,pisces
780,39.292648714710616,pisces
790,39.16783686096181,pisces
800,39.04302500721301,pisces
810,38.918213153464215,pisces
820,38.79340129971541,pisces
830,38.66858944596661,pisces
840,38.4552067315872,pisces
850,38.241824008761,pisces
860,38.028441285934804,pisces
870,37.815058563108614,pisces
880,37.60167584028242,pisces
890,37.38829311745622,pisces
900,37.17491039463003,pisces
910,36.961527671803836,pisces
920,36.74814494897764,pisces
930,36.53476222615145,pisces
940,36.321379503325254,pisces
950,36.10799678049906,pisces
960,35.89461405767287,pisces
970,35.68123133484667,pisces
980,35.467848612020475,pisces
990,35.25446588919428,pisces
1000,35.04108316636809,pisces
1010,34.8856076043129,pisces
1020,34.73013204778018,pisces
1030,34.57465649124746,pisces
1040,34.41918093471473,pisces
1050,34.26370537818201,pisces
1060,34.10822982164928,pisces
1070,33.95275426511656,pisces
1080,33.79727870858383,pisces
1090,33.64180315205111,pisces
1100,33.48632759551838,pisces
1110,33.33085203898566,pisces
1120,33.17537648245294,pisces
1130,33.01253637314044,pisces
1140,32.849696263125615,pisces
1150,32.68685615311078,pisces
1160,32.52401604309595,pisces
1170,32.36117593308112,pisces
1180,32.19833582306629,pisces
1190,32.01947478027753,pisces
1200,31.840613735960893,pisces
1210,31.661752691644256,pisces
1220,31.48289164732762,pisces
1230,31.304030603010986,pisces
1240,31.12516955869435,pisces
1250,30.946308514377716,pisces
1260,30.844278339470822,pisces
1270,30.819079063282327,pisces
1280,30.79387978709383,pisces
1290,30.768680510905334,pisces
1300,30.74348123471684,pisces
1310,30.718281958528344,pisces
1320,30.69308268233985,pisces
1330,30.667883406151354,pisces
1340,30.642684129962856,pisces
1350,30.61748485377436,pisces
1360,30.592285577585866,pisces
1370,30.56708630139737,pisces
1380,30.541887025208876,pisces
1390,30.516687749020377,pisces
1400,30.491488472831882,pisces
1410,30.466289196643388,pisces
1420,30.441089920454893,pisces
1430,30.415890644266398,pisces
1440,30.390691368077903,pisces
1450,30.365492091889404,pisces
1460,30.34029281570091,pisces
1470,30.315093539512414,pisces
1480,30.28989426332392,pisces
1490,30.264694987135424,pisces
1500,30.239495710946926,pisces
1510,30.21429643475843,pisces
1520,30.189097158569936,pisces
1530,30.16389788238144,pisces
1540,29.96651508608183,pisces
1550,29.769132273361517,pisces
1560,29.571749460641204,pisces
1570,29.37436664792089,pisces
1580,29.176983835200573,pisces
1590,28.97960102248026,pisces
1600,28.859246648739596,pisces
1610,28.738892282344935,pisces
1620,28.618537915950277,pisces
1630,28.498183549555616,pisces
1640,28.377829183160955,pisces
1650,28.285675874054927,pisces
1660,28.22172363299538,pisces
1670,28.157771391935835,pisces
1680,28.09381915087629,pisces
1690,28.029866909816743,pisces
1700,27.965914668757197,pisces
1710,27.90196242769765,pisces
1720,27.8380101866381,pisces
1730,27.774057945578555,pisces
1740,27.71010570451901,pisces
1750,27.646153463459463,pisces
1760,27.582201222399917,pisces
1770,27.51824898134037,pisces
1780,27.454296740280824,pisces
1790,27.39034449922128,pisces
1800,27.326392258161732,pisces
1810,27.262440017102186,pisces
1820,27.19848777604264,pisces
1830,27.113600883531312,pisces
1840,27.00777933158227,pisces
1850,26.901957779633225,pisces
1860,26.79613622768418,pisces
1870,26.690314675735138,pisces
1880,26.584493123786093,pisces
1890,26.500694880271556,pisces
1900,26.438919953592755,pisces
1910,26.377145026913954,pisces
1920,26.315370100235153,pisces
1930,26.25359517355635,pisces
1940,26.191820246877548,pisces
1950,26.130045320198747,pisces
1960,26.063290178167794,pisces
1970,25.991554818884882,pisces
1980,25.91981945960197,pisces
1990,25.848084100319063,pisces
400,65.41437814191752,pisces
410,65.11808391994713,pisces
420,62.779986456181334,pisces
430,60.441888895054774,pisces
440,58.103791333928214,pisces
450,55.76569377280165,pisces
460,53.42759621167508,pisces
470,51.08949865054852,pisces
480,50.628934701814956,pisces
490,50.16837084260919,pisces
500,49.70780698340342,pisces
510,49.24724312419765,pisces
520,48.78667926499189,pisces
530,48.32611540578612,pisces
540,47.86555154658035,pisces
550,47.404987687374586,pisces
560,46.944423828168816,pisces
570,46.483859968963046,pisces
580,46.02329610975728,pisces
590,45.56273225055151,pisces
600,45.10216839134574,pisces
610,44.64160453213998,pisces
620,44.18104067293421,pisces
630,43.72047681372844,pisces
640,43.25991295452267,pisces
650,42.799349095316906,pisces
660,42.491821806366175,pisces
670,42.184294524712804,pisces
680,41.87676724305943,pisces
690,41.56923996140606,pisces
700,41.261712679752684,pisces
710,40.95418539809931,pisces
720,40.64665811644594,pisces
730,40.33913083479257,pisces
740,40.03160355313919,pisces
750,39.72407627148582,pisces
760,39.41654898983245,pisces
770,39.31284590026934,pisces
780,39.20914282042532,pisces
790,39.10543974058131,pisces
800,39.00173666073729,pisces
810,38.898033580893284,pisces
820,38.79433050104927,pisces
830,38.641813371266814,pisces
840,38.44048218223539,pisces
850,38.239150993203964,pisces
860,38.03781980417254,pisces
870,37.836488615141114,pisces
880,37.63515742610969,pisces
890,37.433826237078264,pisces
900,37.232495048046836,pisces
910,37.031163859015415,pisces
920,36.829832669983986,pisces
930,36.628501480952565,pisces
940,36.427170291921136,pisces
950,36.225839102889715,pisces
960,36.02450791385829,pisces
970,35.823176724826865,pisces
980,35.62184553579544,pisces
990,35.42051434676401,pisces
1000,35.21918315773259,pisces
1010,35.0868578169238,pisces
1020,34.95453247940547,pisces
1030,34.82220714188714,pisces
1040,34.68988180436882,pisces
1050,34.557556466850485,pisces
1060,34.425231129332154,pisces
1070,34.29290579181383,pisces
1080,34.1605804542955,pisces
1090,34.028255116777174,pisces
1100,33.89592977925884,pisces
1110,33.76360444174051,pisces
1120,33.60610792294345,pisces
1130,33.448611402946135,pisces
1140,33.29111488294882,pisces
1150,33.133618362951495,pisces
1160,32.97612184295418,pisces
1170,32.81862532295686,pisces
1180,32.635106784855225,pisces
1190,32.42556622368596,pisces
1200,32.21602566251669,pisces
1210,32.00648510134743,pisces
1220,31.796944540178167,pisces
1230,31.5874039790089,pisces
1240,31.377863417839638,pisces
1250,31.259660998572176,pisces
1260,31.23279673862789,pisces
1270,31.205932478683604,pisces
1280,31.179068218739317,pisces
1290,31.152203958795027,pisces
1300,31.12533969885074,pisces
1310,31.098475438906455,pisces
1320,31.07161117896217,pisces
1330,31.04474691901788,pisces
1340,31.017882659073592,pisces
1350,30.991018399129306,pisces
1360,30.96415413918502,pisces
1370,30.93728987924073,pisces
1380,30.910425619296444,pisces
1390,30.883561359352157,pisces
1400,30.85669709940787,pisces
1410,30.82983283946358,pisces
1420,30.802968579519295,pisces
1430,30.77610431957501,pisces
1440,30.749240059630722,pisces
1450,30.722375799686432,pisces
1460,30.695511539742146,pisces
1470,30.66864727979786,pisces
1480,30.641783019853573,pisces
1490,30.614918759909283,pisces
1500,30.588054499964997,pisces
1510,30.56119024002071,pisces
1520,30.534325980076424,pisces
1530,30.41477032697521,pisces
1540,30.202523263037584,pisces
1550,29.990276199099956,pisces
1560,29.77802913516233,pisces
1570,29.565782071224707,pisces
1580,29.353535007287082,pisces
1590,29.203715665768808,pisces
1600,29.116324058577025,pisces
1610,29.028932451385245,pisces
1620,28.94154084419346,pisces
1630,28.854149237001682,pisces
1640,28.7667576298099,pisces
1650,28.69343679502409,pisces
1660,28.63418673532804,pisces
1670,28.57493667563199,pisces
1680,28.51568661593594,pisces
1690,28.45643655623989,pisces
1700,28.397186496543842,pisces
1710,28.33793643684779,pisces
1720,28.278686377151743,pisces
1730,28.219436317455692,pisces
1740,28.160186257759644,pisces
1750,28.100936198063593,pisces
1760,28.04168613836754,pisces
1770,27.982436078671494,pisces
1780,27.923186018975443,pisces
1790,27.863935959279395,pisces
1800,27.804685899583344,pisces
1810,27.745435839887296,pisces
1820,27.686185780191245,pisces
1830,27.546531193941178,pisces
1840,27.406876603857125,pisces
1850,27.267222013773075,pisces
1860,27.127567423689023,pisces
1870,26.987912833604973,pisces
1880,26.84825824352092,pisces
1890,26.801134258216358,pisces
1900,26.754010277323996,pisces
1910,26.70688629643163,pisces
1920,26.65976231553927,pisces
1930,26.612638334646906,pisces
1940,26.56551435375454,pisces
1950,26.51839037286218,pisces
1960,26.46453961659811,pisces
1970,26.410688860013284,pisces
1980,26.35683810342846,pisces
1990,26.302987346843633,pisces
400,64.70049710491807,pisces
410,64.24270835257329,pisces
420,62.22211412746193,pisces
430,60.20151979057001,pisces
440,58.180925453678086,pisces
450,56.16033111678617,pisces
460,54.13973677989425,pisces
470,52.11914244300233,pisces
480,50.86618886690024,pisces
490,50.38087627121176,pisces
500,49.89556367552329,pisces
510,49.410251079834815,pisces
520,48.924938484146345,pisces
530,48.43962588845787,pisces
540,47.9543132927694,pisces
550,47.46900069708092,pisces
560,46.983688101392445,pisces
570,46.498375505703976,pisces
580,46.0130629100155,pisces
590,45.52775031432703,pisces
600,45.04243771863855,pisces
610,44.55712512295008,pisces
620,44.071812527261606,pisces
630,43.58649993157314,pisces
640,43.10118733588466,pisces
650,42.61587474019619,pisces
660,42.3380577525878,pisces
670,42.06024077982067,pisces
680,41.782423807053526,pisces
690,41.504606834286385,pisces
700,41.22678986151925,pisces
710,40.94897288875211,pisces
720,40.67115591598497,pisces
730,40.39333894321783,pisces
740,40.11552197045069,pisces
750,39.83770499768355,pisces
760,39.55988802491641,pisces
770,39.39189841820253,pisces
780,39.22390881934411,pisces
790,39.05591922048569,pisces
800,38.88792962162727,pisces
810,38.71994002276885,pisces
820,38.551950423910434,pisces
830,38.36888629744522,pisces
840,38.170747639060366,pisces
850,37.97260898067551,pisces
860,37.774470322290654,pisces
870,37.5763316639058,pisces
880,37.378193005520934,pisces
890,37.18005434713608,pisces
900,36.98191568875122,pisces
910,36.783777030366366,pisces
920,36.5856383719815,pisces
930,36.38749971359665,pisces
940,36.18936105521179,pisces
950,35.991222396826934,pisces
960,35.79308373844208,pisces
970,35.594945080057215,pisces
980,35.39680642167236,pisces
990,35.1986677632875,pisces
1000,35.00052910490265,pisces
1010,34.88118237934439,pisces
1020,34.76183565942178,pisces
1030,34.64248893949916,pisces
1040,34.52314221957654,pisces
1050,34.403795499653924,pisces
1060,34.284448779731306,pisces
1070,34.16510205980869,pisces
1080,34.04575533988608,pisces
1090,33.92640861996346,pisces
1100,33.80706190004084,pisces
1110,33.687715180118225,pisces
1120,33.43107717166903,pisces
1130,33.1744391534,pisces
1140,32.91780113513097,pisces
1150,32.661163116861935,pisces
1160,32.404525098592906,pisces
1170,32.147887080323876,pisces
1180,31.988685557011593,pisces
1190,31.92692055653286,pisces
1200,31.865155556054123,pisces
1210,31.803390555575387,pisces
1220,31.74162555509665,pisces
1230,31.679860554617914,pisces
1240,31.618095554139177,pisces
1250,31.55633055366044,pisces
1260,31.494565553181708,pisces
1270,31.43280055270297,pisces
1280,31.371035552224235,pisces
1290,31.3092705517455,pisces
1300,31.247505551266762,pisces
1310,31.185740550788026,pisces
1320,31.150827284120076,pisces
1330,31.11591401937271,pisces
1340,31.081000754625347,pisces
1350,31.04608748987798,pisces
1360,31.011174225130617,pisces
1370,30.97626096038325,pisces
1380,30.941347695635883,pisces
1390,30.90643443088852,pisces
1400,30.871521166141154,pisces
1410,30.836607901393787,pisces
1420,30.801694636646424,pisces
1430,30.766781371899057,pisces
1440,30.73186810715169,pisces
1450,30.696954842404327,pisces
1460,30.66204157765696,pisces
1470,30.627128312909598,pisces
1480,30.59221504816223,pisces
1490,30.557301783414864,pisces
1500,30.5223885186675,pisces
1510,30.487475253920135,pisces
1520,30.452561989172768,pisces
1530,30.335059182270843,pisces
1540,30.1349668095853,pisces
1550,29.934874436899758,pisces
1560,29.734782064214215,pisces
1570,29.534689691528673,pisces
1580,29.33459731884313,pisces
1590,29.134504946157588,pisces
1600,29.071385010871584,pisces
1610,29.008265085382607,pisces
1620,28.94514515989363,pisces
1630,28.882025234404654,pisces
1640,28.818905308915678,pisces
1650,28.7557853834267,pisces
1660,28.69266545793773,pisces
1670,28.61972971746243,pisces
1680,28.54679397628505,pisces
1690,28.47385823510767,pisces
1700,28.400922493930292,pisces
1710,28.327986752752913,pisces
1720,28.25505101157553,pisces
1730,28.182115270398153,pisces
1740,28.109179529220775,pisces
1750,28.036243788043393,pisces
1760,27.963308046866015,pisces
1770,27.890372305688636,pisces
1780,27.817436564511258,pisces
1790,27.744500823333876,pisces
1800,27.671565082156498,pisces
1810,27.59862934097912,pisces
1820,27.52569359980174,pisces
1830,27.43403030475559,pisces
1840,27.323639450482677,pisces
1850,27.213248596209763,pisces
1860,27.102857741936848,pisces
1870,26.99246688766393,pisces
1880,26.882076033391016,pisces
1890,26.799150837953935,pisces
1900,26.743691309210682,pisces
1910,26.68823178046743,pisces
1920,26.632772251724173,pisces
1930,26.57731272298092,pisces
1940,26.521853194237664,pisces
1950,26.46639366549441,pisces
1960,26.38721379306091,pisces
1970,26.28431357015071,pisces
1980,26.181413347240515,pisces
1990,26.078513124330318,pisces
400,65.37792996266175,pisces
410,65.03413205127596,pisces
420,63.73588001475671,pisces
430,61.48317376208014,pisces
440,59.23046750940358,pisces
450,56.977761256727014,pisces
460,54.72505500405045,pisces
470,52.472348751373886,pisces
480,51.10229645578405,pisces
490,50.61489820145739,pisces
500,50.12749994713073,pisces
510,49.640101692804066,pisces
520,49.1527034384774,pisces
530,48.665305184150746,pisces
540,48.17790692982408,pisces
550,47.69050867549742,pisces
560,47.20311042117076,pisces
570,46.7157121668441,pisces
580,46.228313912517436,pisces
590,45.74091565819077,pisces
600,45.253517403864116,pisces
610,44.76611914953745,pisces
620,44.27872089521079,pisces
630,43.79132264088413,pisces
640,43.30392438655747,pisces
650,42.816526132230806,pisces
660,42.523202441274634,pisces
670,42.22987875494557,pisces
680,41.93655506861649,pisces
690,41.643231382287425,pisces
700,41.34990769595835,pisces
710,41.05658400962928,pisces
720,40.76326032330021,pisces
730,40.469936636971134,pisces
740,40.17661295064207,pisces
750,39.88328926431299,pisces
760,39.589965577983925,pisces
770,39.366626548243254,pisces
780,39.21327218176524,pisces
790,39.05991781528723,pisces
800,38.906563448809216,pisces
810,38.75320908233121,pisces
820,38.5998547158532,pisces
830,38.446500349375185,pisces
840,38.25299048219942,pisces
850,38.05948061406628,pisces
860,37.86597074593314,pisces
870,37.6724608778,pisces
880,37.47895100966686,pisces
890,37.28544114153372,pisces
900,37.091931273400576,pisces
910,36.898421405267435,pisces
920,36.704911537134294,pisces
930,36.51140166900115,pisces
940,36.31789180086801,pisces
950,36.12438193273487,pisces
960,35.93087206460173,pisces
970,35.73736219646859,pisces
980,35.54385232833545,pisces
990,35.3503424602023,pisces
1000,35.15683259206916,pisces
1010,35.026034857208366,pisces
1020,34.89523712384275,pisces
1030,34.76443939047712,pisces
1040,34.633641657111504,pisces
1050,34.50284392374588,pisces
1060,34.37204619038026,pisces
1070,34.24124845701464,pisces
1080,34.110450723649016,pisces
1090,33.9796529902834,pisces
1100,33.84885525691777,pisces
1110,33.718057523552154,pisces
1120,33.52337468167104,pisces
1130,33.26480672518187,pisces
1140,33.006238768692704,pisces
1150,32.74767081220354,pisces
1160,32.489102855714364,pisces
1170,32.2305348992252,pisces
1180,31.971966942736028,pisces
1190,31.912508885264717,pisces
1200,31.853050832540557,pisces
1210,31.793592779816397,pisces
1220,31.734134727092233,pisces
1230,31.674676674368072,pisces
1240,31.615218621643912,pisces
1250,31.55576056891975,pisces
1260,31.496302516195588,pisces
1270,31.436844463471427,pisces
1280,31.377386410747267,pisces
1290,31.317928358023106,pisces
1300,31.258470305298946,pisces
1310,31.199012252574782,pisces
1320,31.14984771834261,pisces
1330,31.110976703584086,pisces
1340,31.072105688825562,pisces
1350,31.03323467406704,pisces
1360,30.994363659308515,pisces
1370,30.955492644549995,pisces
1380,30.91662162979147,pisces
1390,30.877750615032948,pisces
1400,30.838879600274424,pisces
1410,30.8000085855159,pisces
1420,30.76113757075738,pisces
1430,30.722266555998857,pisces
1440,30.683395541240333,pisces
1450,30.64452452648181,pisces
1460,30.60565351172329,pisces
1470,30.566782496964766,pisces
1480,30.527911482206243,pisces
1490,30.48904046744772,pisces
1500,30.450169452689195,pisces
1510,30.411298437930675,pisces
1520,30.37242742317215,pisces
1530,30.333556408413628,pisces
1540,30.232393386632687,pisces
1550,30.131230363366587,pisces
1560,30.030067340100487,pisces
1570,29.928904316834387,pisces
1580,29.827741293568288,pisces
1590,29.726578270302188,pisces
1600,29.625415247036088,pisces
1610,29.524252223769988,pisces
1620,29.423089200503888,pisces
1630,29.32192617723779,pisces
1640,29.22076315397169,pisces
1650,29.110308779598064,pisces
1660,28.990563053230822,pisces
1670,28.87081732686358,pisces
1680,28.751071600496335,pisces
1690,28.631325874129093,pisces
1700,28.51158014776185,pisces
1710,28.45135445110968,pisces
1720,28.391128755876576,pisces
1730,28.330903060643475,pisces
1740,28.27067736541037,pisces
1750,28.210451670177267,pisces
1760,28.150225974944163,pisces
1770,28.090000279711063,pisces
1780,28.02977458447796,pisces
1790,27.969548889244855,pisces
1800,27.90932319401175,pisces
1810,27.84909749877865,pisces
1820,27.788871803545547,pisces
1830,27.728646108312443,pisces
1840,27.66842041307934,pisces
1850,27.60819471784624,pisces
1860,27.547969022613135,pisces
1870,27.48774332738003,pisces
1880,27.427517632146927,pisces
1890,27.34029163345647,pisces
1900,27.253065634122276,pisces
1910,27.165839634788078,pisces
1920,27.078613635453884,pisces
1930,26.99138763611969,pisces
1940,26.904161636785496,pisces
1950,26.816935637451298,pisces
1960,26.722521493616732,pisces
1970,26.62091920459628,pisces
1980,26.519316915575825,pisces
1990,26.417714626555373,pisces
400,64.92882952725513,pisces
410,64.77445496678261,pisces
420,62.71031062328857,pisces
430,60.64616623426208,pisces
440,58.58202184523559,pisces
450,56.51787745620909,pisces
460,54.4537330671826,pisces
470,52.3895886781561,pisces
480,51.10995217377613,pisces
490,50.61482362885918,pisces
500,50.119695083942226,pisces
510,49.62456653902528,pisces
520,49.12943799410833,pisces
530,48.63430944919138,pisces
540,48.139180904274426,pisces
550,47.644052359357474,pisces
560,47.14892381444053,pisces
570,46.65379526952358,pisces
580,46.158666724606626,pisces
590,45.663538179689674,pisces
600,45.16840963477273,pisces
610,44.67328108985578,pisces
620,44.178152544938825,pisces
630,43.683024000021874,pisces
640,43.18789545510492,pisces
650,42.69276691018798,pisces
660,42.38088652751513,pisces
670,42.069006149211255,pisces
680,41.757125770907386,pisces
690,41.44524539260352,pisces
700,41.13336501429965,pisces
710,40.82148463599577,pisces
720,40.509604257691905,pisces
730,40.197723879388036,pisces
740,39.88584350108416,pisces
750,39.57396312278029,pisces
760,39.26208274447642,pisces
770,39.06434600958387,pisces
780,38.86660927741272,pisces
790,38.66887254524157,pisces
800,38.47113581307042,pisces
810,38.27339908089927,pisces
820,38.07566234872811,pisces
830,37.889946046571794,pisces
840,37.716250175576675,pisces
850,37.54255430458155,pisces
860,37.368858433586425,pisces
870,37.1951625625913,pisces
880,37.02146669159618,pisces
890,36.847770820601056,pisces
900,36.67407494960593,pisces
910,36.500379078610806,pisces
920,36.32668320761569,pisces
930,36.15298733662056,pisces
940,35.97929146562544,pisces
950,35.80559559463031,pisces
960,35.63189972363519,pisces
970,35.45820385264007,pisces
980,35.28450798164494,pisces
990,35.11081211064982,pisces
1000,34.9371162396547,pisces
1010,34.80201212583148,pisces
1020,34.66690801292836,pisces
1030,34.531803900025245,pisces
1040,34.39669978712213,pisces
1050,34.26159567421901,pisces
1060,34.126491561315895,pisces
1070,33.99138744841278,pisces
1080,33.85628333550966,pisces
1090,33.721179222606544,pisces
1100,33.58607510970343,pisces
1110,33.45097099680031,pisces
1120,33.276873897290145,pisces
1130,33.10277679685032,pisces
1140,32.9286796964105,pisces
1150,32.75458259597067,pisces
1160,32.580485495530844,pisces
1170,32.406388395091014,pisces
1180,32.21116253051556,pisces
1190,31.994807899789482,pisces
1200,31.778453269063405,pisces
1210,31.56209863833733,pisces
1220,31.345744007611252,pisces
1230,31.12938937688517,pisces
1240,30.913034746159095,pisces
1250,30.797934491206743,pisces
1260,30.78408862168449,pisces
1270,30.770242752162236,pisces
1280,30.756396882639983,pisces
1290,30.74255101311773,pisces
1300,30.728705143595473,pisces
1310,30.71485927407322,pisces
1320,30.701013404550967,pisces
1330,30.687167535028713,pisces
1340,30.67332166550646,pisces
1350,30.659475795984203,pisces
1360,30.64562992646195,pisces
1370,30.631784056939697,pisces
1380,30.617938187417444,pisces
1390,30.604092317895187,pisces
1400,30.590246448372934,pisces
1410,30.57640057885068,pisces
1420,30.562554709328428,pisces
1430,30.548708839806174,pisces
1440,30.534862970283918,pisces
1450,30.521017100761664,pisces
1460,30.50717123123941,pisces
1470,30.493325361717158,pisces
1480,30.479479492194905,pisces
1490,30.465633622672648,pisces
1500,30.451787753150395,pisces
1510,30.43794188362814,pisces
1520,30.42409601410589,pisces
1530,30.327979568790347,pisces
1540,30.14959253983559,pisces
1550,29.971205510880832,pisces
1560,29.792818481926073,pisces
1570,29.614431452971314,pisces
1580,29.436044424016558,pisces
1590,29.2576573950618,pisces
1600,29.098075204376443,pisces
1610,28.957297853753857,pisces
1620,28.816520503131276,pisces
1630,28.67574315250869,pisces
1640,28.534965801886106,pisces
1650,28.394188451263524,pisces
1660,28.342431541885958,pisces
1670,28.290674634630804,pisces
1680,28.23891772737565,pisces
1690,28.187160820120496,pisces
1700,28.135403912865343,pisces
1710,28.08364700561019,pisces
1720,28.031890098355035,pisces
1730,27.98013319109988,pisces
1740,27.92837628384473,pisces
1750,27.876619376589577,pisces
1760,27.824862469334423,pisces
1770,27.77310556207927,pisces
1780,27.721348654824116,pisces
1790,27.669591747568962,pisces
1800,27.617834840313808,pisces
1810,27.566077933058654,pisces
1820,27.5143210258035,pisces
1830,27.462564118548347,pisces
1840,27.32447882908938,pisces
1850,27.186393537572187,pisces
1860,27.048308246054994,pisces
1870,26.9102229545378,pisces
1880,26.772137663020604,pisces
1890,26.63405237150341,pisces
1900,26.56671789899264,pisces
1910,26.4993834281687,pisces
1920,26.432048957344758,pisces
1930,26.364714486520818,pisces
1940,26.297380015696877,pisces
1950,26.230045544872937,pisces
1960,26.162711074048996,pisces
1970,26.09908515890318,pisces
1980,26.03545924384578,pisces
1990,25.97183332878838,pisces
400,42.07489391270994,polaris
410,40.250356594755516,polaris
420,38.42581927680111,polaris
430,37.38235034763731,polaris
440,37.11994995624116,polaris
450,36.857549564845,polaris
460,36.595149173448846,polaris
470,36.33274878205269,polaris
480,36.070348390656534,polaris
490,35.577680829089196,polaris
500,35.08501325654186,polaris
510,34.59234568399453,polaris
520,34.09967811144719,polaris
530,33.60701053889986,polaris
540,33.32788389673252,polaris
550,33.2622982256749,polaris
560,33.196712554617264,polaris
